Ne toga cordylis et paenula desit olivis Aut inopem metuat sordida blatta famem, Perdite Niliacas, Musae, mea damna, papyros: Postulat, ecce, novos ebria bruma sales.	Lest the toga of the worm and the dirty blanket lack olives or fear poor, dirty bugs hunger, O destroyers of the Nile, Muses, my damage, papyrus: Behold, it demands new wine-soaked snowflakes.
Non mea magnanimo depugnat tessera telo, Senio nec nostrum cum cane quassat ebur: Haec mihi charta nuces, haec est mihi charta fritillus: Alea nec damnum nec facit ista lucrum.	My proud dice do not fight against my large piece with a lance, nor does our game with a dog shake my ivory: These nuts are my parchment, this is my parchment dice-box; gaming does neither make a profit nor cause a loss.
Nasutus sis usque licet, sis denique nasus, Quantum noluerat ferre rogatus Atlans, Et possis ipsum tu deridere Latinum: Non potes in nugas dicere plura meas, Ipse ego quam dixi.	You are a great big nose, though you may be nothing but a nose at last, when asked he did not want to bear it, and you can laugh all you like at Latin: you cannot say more of my nonsense than I have said myself.
Quid dentem dente iuvabit Rodere?	What good will tooth grind tooth?
carne opus est, si satur esse velis.	If you want to be satisfied, it takes meat.
Ne perdas operam: qui se mirantur, in illos Virus habe, nos haec novimus esse nihil.	Don't waste your time: those who marvel at it have this virus, we know that these things are nothing.
Non tamen hoc nimium nihil est, si candidus aure, Nec matutina si mihi fronte venis.	Yet this is not too much if you come white as gold or if you approach me with morning face.
Omnis in hoc gracili Xeniorum turba libello Constabit nummis quattuor empta tibi.	All in this slender scroll of Xeni's collection will stand four coins bought for you.
Quattuor est nimium?	Four is too much?
poterit constare duobus, Et faciet lucrum bybliopola Tryphon.	A librarian can prove two things, and Tryphon the bookseller will make a profit.
Haec licet hospitibus pro munere disticha mittas, Si tibi tam rarus, quam mihi, nummus erit.	You may send these two lines to your guests as a gift, If such a scarce [thing] is to you as it is to me, it will be worth it.
Addita per titulos sua nomina rebus habebis: Praetereas, si quid non facit ad stomachum.	By adding titles to her things, she would have names for them; but if something didn't suit her stomach, she would pass by it.
Serus ut aetheriae Germanicus imperet aulae Utque diu terris, da pia tura Iovi.	Late as he is to govern the palace of Aetherian Germanicus, and that Jove may live long on the lands, give holy incense.
Cerea quae patulo lucet ficedula lumbo, Cum tibi sorte datur, si sapis, adde piper.	From the wax which shines when it is spread out, like a beech tree, if you have the luck to receive it and if you are wise, add pepper.
Nos alicam, poterit mulsum tibi mittere dives.	We will send you an axe, a rich man can send honeyed wine to you.
Si tibi noluerit mittere dives, emes.	If it doesn't please the rich man to give you, buy.
Si spumet rubra conchis tibi pallida testa, Lautorum cenis saepe negare potes.	If your pale shell blows bubbles at you, often you can deny the ashes of the laut.
Inbue plebeias Clusinis pultibus ollas, Ut satur in vacuis dulcia musta bibas.	I have filled a Clusinian vessel with plebeian porridge to satisfy the hungry with sweet must.
Accipe Niliacam, Pelusia munera, lentem: Vilior est alica, carior illa faba.	Receive the Nile's gifts, Pelusium's offerings, the lethargic, sluggish one: the bean is more inferior, that other broad bean is dearer.
Nec dotes similae possis numerare nec usus, Pistori totiens cum sit et apta coco.	Nor can you count its gifts like those of the hen or its use, for it is always so plentiful and suitable for the cook.
Mulio quod non det tacituris, accipe, mulis.	Receive what you do not give, and be silent, many.
Haec ego coponi, non tibi dona dedi.	I lay this down for myself, not for you to give.
Tercentum Libyci modios de messe coloni Sume, suburbanus ne moriatur ager.	Take one hundred Libyan pounds of meal from the mess of the colony, so that the field may not perish for want of a laborer.
Ut sapiant fatuae, fabrorum prandia, betae, O quam saepe petet vina piperque cocus!	So that the foolish may learn, the dinner of the carpenters, the feast of the beets, oh how often wine and pepper seek the cook!
Cludere quae cenas lactuca solebat avorum, Dic mihi, cur nostras inchoat illa dapes?	To close what meals used to be grandmothers' task, tell me why she starts our meals?
Si vicina tibi Nomento rura coluntur, Ad villam moneo, rustice, ligna feras.	If you live near Nementha and farm the countryside, I advise you to go to the village; bring firewood with you, peasant.
Haec tibi brumali gaudentia frigore rapa Quae damus, in caelo Romulus esse solet.	These are the things which they give you during the winter rejoicing frost in the cabbage that Romulus is said to be in heaven.
